timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,Austria,Austria,AT,153.89,191.15,83.27,70.41,entsoe.eu,False,
1672552800,Austria,Austria,AT,158.61,196.01,82.82,69.78,entsoe.eu,False,
1672556400,Austria,Austria,AT,162.24,200.53,82.4,69.08,entsoe.eu,False,
1672560000,Austria,Austria,AT,168.06,207.22,81.62,67.61,entsoe.eu,False,
1672563600,Austria,Austria,AT,171.5,210.95,81.22,66.38,entsoe.eu,False,
1672567200,Austria,Austria,AT,168.91,208.36,81.4,66.61,entsoe.eu,False,
1672570800,Austria,Austria,AT,166.48,205.83,81.64,66.61,entsoe.eu,False,
1672574400,Austria,Austria,AT,160.47,198.25,82.15,65.12,entsoe.eu,False,
1672578000,Austria,Austria,AT,143.98,182.04,83.85,68.69,entsoe.eu,False,
1672581600,Austria,Austria,AT,132.09,169.84,85.29,72.25,entsoe.eu,False,
1672585200,Austria,Austria,AT,128.75,165.71,85.72,72.36,entsoe.eu,False,
1672588800,Austria,Austria,AT,125.9,162.55,86.02,72.56,entsoe.eu,False,
1672592400,Austria,Austria,AT,126.36,163.3,85.96,72.68,entsoe.eu,False,
1672596000,Austria,Austria,AT,130.47,167.7,85.54,72.2,entsoe.eu,False,
1672599600,Austria,Austria,AT,130.47,167.68,85.58,70.55,entsoe.eu,False,
1672603200,Austria,Austria,AT,138.85,173.28,86.34,70.85,entsoe.eu,False,
1672606800,Austria,Austria,AT,136.21,165.47,88.61,72.78,entsoe.eu,False,
1672610400,Austria,Austria,AT,139.32,168.44,88.44,73.03,entsoe.eu,False,
1672614000,Austria,Austria,AT,143.83,170.89,89.36,75.58,entsoe.eu,False,
1672617600,Austria,Austria,AT,140.04,170.55,87.98,73.11,entsoe.eu,False,
1672621200,Austria,Austria,AT,125.9,159.83,87.1,71.44,entsoe.eu,False,
1672624800,Austria,Austria,AT,129.5,163.31,86.8,70.36,entsoe.eu,False,
1672628400,Austria,Austria,AT,123.98,159.04,86.38,68.9,entsoe.eu,False,
1672632000,Austria,Austria,AT,136.74,171.72,84.99,65.36,entsoe.eu,False,
1672635600,Austria,Austria,AT,135.62,170.53,85.06,65.14,entsoe.eu,False,
1672639200,Austria,Austria,AT,142.89,178.34,84.17,64.01,entsoe.eu,False,
1672642800,Austria,Austria,AT,147.78,183.7,83.59,61.95,entsoe.eu,False,
1672646400,Austria,Austria,AT,146.57,184.35,83.76,65.65,entsoe.eu,False,
1672650000,Austria,Austria,AT,154.71,192.72,82.22,63.81,entsoe.eu,False,
1672653600,Austria,Austria,AT,155.77,193.16,82.04,64.15,entsoe.eu,False,
1672657200,Austria,Austria,AT,174.36,211.65,80.03,64.95,entsoe.eu,False,
1672660800,Austria,Austria,AT,181.46,217.01,80.19,66.93,entsoe.eu,False,
1672664400,Austria,Austria,AT,191.8,229.41,78.59,68.14,entsoe.eu,False,
1672668000,Austria,Austria,AT,205.99,247.44,75.73,66.94,entsoe.eu,False,
1672671600,Austria,Austria,AT,208.02,249.22,76.14,67.92,entsoe.eu,False,
1672675200,Austria,Austria,AT,206.72,246.65,76.75,68.68,entsoe.eu,False,
1672678800,Austria,Austria,AT,209.5,247.88,77.34,69.26,entsoe.eu,False,
1672682400,Austria,Austria,AT,219.18,257.73,76.29,67.7,entsoe.eu,False,
1672686000,Austria,Austria,AT,218.45,254.68,77.45,67.79,entsoe.eu,False,
1672689600,Austria,Austria,AT,231.37,267.57,76.05,66.55,entsoe.eu,False,
1672693200,Austria,Austria,AT,224.93,257.59,78.35,69.39,entsoe.eu,False,
1672696800,Austria,Austria,AT,229.65,262.06,78.16,70.57,entsoe.eu,False,
1672700400,Austria,Austria,AT,227.66,260.6,78.15,70.84,entsoe.eu,False,
1672704000,Austria,Austria,AT,225.51,259.65,77.3,69.48,entsoe.eu,False,
1672707600,Austria,Austria,AT,240.81,278.24,74.26,65.29,entsoe.eu,False,
1672711200,Austria,Austria,AT,250.02,289.67,72.65,62.77,entsoe.eu,False,
1672714800,Austria,Austria,AT,262.32,303.65,70.47,59.02,entsoe.eu,False,
1672718400,Austria,Austria,AT,274.56,320.89,66.78,53.98,entsoe.eu,False,
1672722000,Austria,Austria,AT,272.25,320.11,65.92,52.37,entsoe.eu,False,
1672725600,Austria,Austria,AT,257.53,304.44,67.84,53.34,entsoe.eu,False,
1672729200,Austria,Austria,AT,258.06,305.34,68.04,53.96,entsoe.eu,False,
1672732800,Austria,Austria,AT,264.8,312.52,67.24,53.84,entsoe.eu,False,
1672736400,Austria,Austria,AT,277.98,323.31,67.37,54.09,entsoe.eu,False,
1672740000,Austria,Austria,AT,280.17,324.41,69.0,58.78,entsoe.eu,False,
1672743600,Austria,Austria,AT,254.72,289.7,75.57,67.86,entsoe.eu,False,
1672747200,Austria,Austria,AT,227.81,259.1,79.13,72.67,entsoe.eu,False,
1672750800,Austria,Austria,AT,243.53,278.93,75.86,68.67,entsoe.eu,False,
1672754400,Austria,Austria,AT,243.48,279.49,75.58,68.26,entsoe.eu,False,
1672758000,Austria,Austria,AT,252.63,290.54,74.32,66.96,entsoe.eu,False,
1672761600,Austria,Austria,AT,249.67,287.27,74.93,67.76,entsoe.eu,False,
1672765200,Austria,Austria,AT,248.75,286.76,74.93,67.93,entsoe.eu,False,
1672768800,Austria,Austria,AT,258.36,296.5,74.25,66.89,entsoe.eu,False,
1672772400,Austria,Austria,AT,254.81,289.99,75.92,68.28,entsoe.eu,False,
1672776000,Austria,Austria,AT,253.15,288.93,75.49,67.05,entsoe.eu,False,
1672779600,Austria,Austria,AT,260.51,296.41,75.14,67.8,entsoe.eu,False,
1672783200,Austria,Austria,AT,240.17,273.56,77.11,70.07,entsoe.eu,False,
1672786800,Austria,Austria,AT,244.53,280.77,75.21,67.86,entsoe.eu,False,
1672790400,Austria,Austria,AT,261.85,303.58,71.51,63.45,entsoe.eu,False,
1672794000,Austria,Austria,AT,258.91,305.83,68.03,58.32,entsoe.eu,False,
1672797600,Austria,Austria,AT,256.78,302.92,68.72,58.21,entsoe.eu,False,
1672801200,Austria,Austria,AT,245.8,292.33,69.61,59.05,entsoe.eu,False,
1672804800,Austria,Austria,AT,226.74,274.66,70.08,59.56,entsoe.eu,False,
1672808400,Austria,Austria,AT,212.45,261.44,71.16,61.05,entsoe.eu,False,
1672812000,Austria,Austria,AT,207.39,257.97,70.62,60.7,entsoe.eu,False,
1672815600,Austria,Austria,AT,209.43,260.31,70.34,59.8,entsoe.eu,False,
1672819200,Austria,Austria,AT,215.02,265.68,69.97,59.1,entsoe.eu,False,
1672822800,Austria,Austria,AT,225.53,274.56,69.46,58.91,entsoe.eu,False,
1672826400,Austria,Austria,AT,227.85,268.48,74.05,66.11,entsoe.eu,False,
1672830000,Austria,Austria,AT,230.23,270.87,73.72,66.5,entsoe.eu,False,
1672833600,Austria,Austria,AT,227.75,268.19,74.02,67.08,entsoe.eu,False,
