timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,Switzerland,Switzerland,CH,60.77,100.1,93.43,58.82,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672552800,Switzerland,Switzerland,CH,58.09,97.58,93.72,58.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672556400,Switzerland,Switzerland,CH,61.84,98.5,93.07,51.52,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672560000,Switzerland,Switzerland,CH,67.79,105.55,92.35,52.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672563600,Switzerland,Switzerland,CH,65.5,104.41,92.65,54.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672567200,Switzerland,Switzerland,CH,68.06,107.14,92.48,56.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672570800,Switzerland,Switzerland,CH,72.15,110.07,91.97,54.31,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672574400,Switzerland,Switzerland,CH,66.94,105.37,92.55,54.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672578000,Switzerland,Switzerland,CH,68.09,105.71,92.45,54.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672581600,Switzerland,Switzerland,CH,57.5,95.19,93.55,54.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672585200,Switzerland,Switzerland,CH,48.82,87.67,94.45,54.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672588800,Switzerland,Switzerland,CH,43.88,80.01,94.81,50.49,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672592400,Switzerland,Switzerland,CH,21.52,56.69,96.94,47.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672596000,Switzerland,Switzerland,CH,18.91,51.99,97.12,45.69,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672599600,Switzerland,Switzerland,CH,13.65,52.28,97.62,51.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
1672603200,Switzerland,Switzerland,CH,27.04,52.63,96.96,50.79,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
