timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,Germany,Germany,DE,152.03,199.59,82.97,77.71,entsoe.eu,False,
1672552800,Germany,Germany,DE,151.04,198.38,83.24,78.35,entsoe.eu,False,
1672556400,Germany,Germany,DE,159.52,208.8,82.28,77.12,entsoe.eu,False,
1672560000,Germany,Germany,DE,160.98,210.75,82.06,76.84,entsoe.eu,False,
1672563600,Germany,Germany,DE,159.37,208.97,82.28,77.07,entsoe.eu,False,
1672567200,Germany,Germany,DE,160.2,210.18,82.09,76.87,entsoe.eu,False,
1672570800,Germany,Germany,DE,157.96,207.61,82.4,77.27,entsoe.eu,False,
1672574400,Germany,Germany,DE,159.11,209.64,82.26,76.99,entsoe.eu,False,
1672578000,Germany,Germany,DE,151.89,202.21,83.07,78.08,entsoe.eu,False,
1672581600,Germany,Germany,DE,144.58,194.53,83.86,79.1,entsoe.eu,False,
1672585200,Germany,Germany,DE,142.95,192.94,84.15,79.31,entsoe.eu,False,
1672588800,Germany,Germany,DE,145.64,196.59,83.86,79.1,entsoe.eu,False,
1672592400,Germany,Germany,DE,154.75,206.68,82.89,77.71,entsoe.eu,False,
1672596000,Germany,Germany,DE,155.47,206.0,82.78,77.1,entsoe.eu,False,
1672599600,Germany,Germany,DE,161.13,210.86,82.46,75.98,entsoe.eu,False,
1672603200,Germany,Germany,DE,186.87,236.48,81.28,73.72,entsoe.eu,False,
1672606800,Germany,Germany,DE,186.38,235.33,81.89,72.89,entsoe.eu,False,
1672610400,Germany,Germany,DE,196.11,245.61,80.95,71.68,entsoe.eu,False,
1672614000,Germany,Germany,DE,196.0,246.52,80.69,71.98,entsoe.eu,False,
1672617600,Germany,Germany,DE,186.53,237.99,80.44,71.12,entsoe.eu,False,
1672621200,Germany,Germany,DE,181.69,233.06,80.78,71.77,entsoe.eu,False,
1672624800,Germany,Germany,DE,188.64,241.23,79.94,70.13,entsoe.eu,False,
1672628400,Germany,Germany,DE,189.72,244.02,79.08,69.47,entsoe.eu,False,
1672632000,Germany,Germany,DE,199.6,255.16,77.79,67.54,entsoe.eu,False,
1672635600,Germany,Germany,DE,204.83,261.19,77.2,67.04,entsoe.eu,False,
1672639200,Germany,Germany,DE,202.71,258.2,77.44,68.04,entsoe.eu,False,
1672642800,Germany,Germany,DE,197.7,251.94,78.02,68.74,entsoe.eu,False,
1672646400,Germany,Germany,DE,205.28,258.43,77.55,68.75,entsoe.eu,False,
1672650000,Germany,Germany,DE,213.93,266.47,76.89,68.25,entsoe.eu,False,
1672653600,Germany,Germany,DE,236.74,289.15,74.87,66.62,entsoe.eu,False,
1672657200,Germany,Germany,DE,266.44,319.49,72.34,65.17,entsoe.eu,False,
1672660800,Germany,Germany,DE,267.4,319.81,72.38,65.45,entsoe.eu,False,
1672664400,Germany,Germany,DE,277.71,330.38,71.71,65.97,entsoe.eu,False,
1672668000,Germany,Germany,DE,290.14,342.89,71.31,66.52,entsoe.eu,False,
1672671600,Germany,Germany,DE,289.53,342.42,71.31,66.91,entsoe.eu,False,
1672675200,Germany,Germany,DE,282.88,336.0,71.47,66.55,entsoe.eu,False,
1672678800,Germany,Germany,DE,291.79,345.5,70.32,64.63,entsoe.eu,False,
1672682400,Germany,Germany,DE,308.55,363.07,68.62,62.88,entsoe.eu,False,
