Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,645.67,754.85,0.03,0.0,eia.gov,false,
2023-01-01 01:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,608.01,718.4,0.05,0.0,eia.gov,false,
2023-01-01 02:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,393.57,511.41,0.17,0.0,eia.gov,false,
2023-01-01 03:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,396.9,513.75,0.29,0.0,eia.gov,false,
2023-01-01 04:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,394.61,512.18,0.22,0.0,eia.gov,false,
2023-01-01 05:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,440.71,556.78,0.17,0.0,eia.gov,false,
2023-01-01 06:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,559.5,671.92,0.04,0.0,eia.gov,false,
2023-01-01 07:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,607.32,718.49,0.0,0.0,eia.gov,false,
2023-01-01 08:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,608.11,719.01,0.01,0.0,eia.gov,false,
2023-01-01 09:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,631.89,741.21,0.03,0.0,eia.gov,false,
2023-01-01 10:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,627.32,737.1,0.02,0.0,eia.gov,false,
2023-01-01 11:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,650.86,760.01,0.02,0.0,eia.gov,false,
2023-01-01 12:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,660.91,769.92,0.0,0.0,eia.gov,false,
2023-01-01 13:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,669.79,778.45,0.0,0.0,eia.gov,false,
2023-01-01 14:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,670.43,778.97,0.09,0.09,eia.gov,false,
2023-01-01 15:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,643.34,752.75,0.05,0.02,eia.gov,false,
2023-01-01 16:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,634.2,743.56,0.12,0.05,eia.gov,false,
