Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,487.97,605.09,0.23,0.04,eia.gov,false,
2023-01-01 01:00:00,USA,Tampa Electric Company,US-FLA-TEC,489.76,607.09,0.25,0.04,eia.gov,false,
2023-01-01 02:00:00,USA,Tampa Electric Company,US-FLA-TEC,481.36,599.26,0.1,0.02,eia.gov,false,
2023-01-01 03:00:00,USA,Tampa Electric Company,US-FLA-TEC,490.0,607.68,0.15,0.03,eia.gov,false,
2023-01-01 04:00:00,USA,Tampa Electric Company,US-FLA-TEC,494.7,612.42,0.11,0.02,eia.gov,false,
2023-01-01 05:00:00,USA,Tampa Electric Company,US-FLA-TEC,502.6,619.98,0.12,0.02,eia.gov,false,
2023-01-01 06:00:00,USA,Tampa Electric Company,US-FLA-TEC,516.46,633.37,0.19,0.04,eia.gov,false,
2023-01-01 07:00:00,USA,Tampa Electric Company,US-FLA-TEC,523.77,640.46,0.25,0.05,eia.gov,false,
2023-01-01 08:00:00,USA,Tampa Electric Company,US-FLA-TEC,528.18,644.62,0.37,0.06,eia.gov,false,
2023-01-01 09:00:00,USA,Tampa Electric Company,US-FLA-TEC,526.52,642.81,0.57,0.09,eia.gov,false,
2023-01-01 10:00:00,USA,Tampa Electric Company,US-FLA-TEC,527.88,644.24,0.5,0.08,eia.gov,false,
2023-01-01 11:00:00,USA,Tampa Electric Company,US-FLA-TEC,526.82,643.13,0.56,0.08,eia.gov,false,
2023-01-01 12:00:00,USA,Tampa Electric Company,US-FLA-TEC,525.51,641.94,0.42,0.07,eia.gov,false,
2023-01-01 13:00:00,USA,Tampa Electric Company,US-FLA-TEC,507.42,621.8,2.87,2.66,eia.gov,false,
2023-01-01 14:00:00,USA,Tampa Electric Company,US-FLA-TEC,493.18,606.13,4.61,4.43,eia.gov,false,
2023-01-01 15:00:00,USA,Tampa Electric Company,US-FLA-TEC,481.22,592.4,6.51,6.3,eia.gov,false,
2023-01-01 16:00:00,USA,Tampa Electric Company,US-FLA-TEC,465.04,573.68,9.24,9.0,eia.gov,false,
2023-01-01 17:00:00,USA,Tampa Electric Company,US-FLA-TEC,439.78,543.3,14.76,14.68,eia.gov,false,
2023-01-01 18:00:00,USA,Tampa Electric Company,US-FLA-TEC,435.7,540.31,13.7,13.56,eia.gov,false,
2023-01-01 19:00:00,USA,Tampa Electric Company,US-FLA-TEC,436.92,542.62,12.39,12.17,eia.gov,false,
2023-01-01 20:00:00,USA,Tampa Electric Company,US-FLA-TEC,439.55,546.05,11.42,11.15,eia.gov,false,
2023-01-01 21:00:00,USA,Tampa Electric Company,US-FLA-TEC,453.46,563.34,7.73,7.42,eia.gov,false,
2023-01-01 22:00:00,USA,Tampa Electric Company,US-FLA-TEC,485.87,601.63,1.24,0.9,eia.gov,false,
2023-01-01 23:00:00,USA,Tampa Electric Company,US-FLA-TEC,489.11,605.63,0.4,0.08,eia.gov,false,
2023-01-02 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,493.92,610.52,0.37,0.07,eia.gov,false,
2023-01-02 01:00:00,USA,Tampa Electric Company,US-FLA-TEC,489.94,606.94,0.41,0.07,eia.gov,false,
2023-01-02 02:00:00,USA,Tampa Electric Company,US-FLA-TEC,496.85,613.91,0.41,0.07,eia.gov,false,
2023-01-02 03:00:00,USA,Tampa Electric Company,US-FLA-TEC,505.25,622.47,0.32,0.06,eia.gov,false,
2023-01-02 04:00:00,USA,Tampa Electric Company,US-FLA-TEC,509.31,626.4,0.39,0.07,eia.gov,false,
2023-01-02 05:00:00,USA,Tampa Electric Company,US-FLA-TEC,513.37,630.14,0.62,0.1,eia.gov,false,
2023-01-02 06:00:00,USA,Tampa Electric Company,US-FLA-TEC,524.3,640.7,0.55,0.09,eia.gov,false,
2023-01-02 07:00:00,USA,Tampa Electric Company,US-FLA-TEC,528.78,644.93,0.62,0.1,eia.gov,false,
2023-01-02 08:00:00,USA,Tampa Electric Company,US-FLA-TEC,528.97,645.07,0.68,0.11,eia.gov,false,
2023-01-02 09:00:00,USA,Tampa Electric Company,US-FLA-TEC,528.59,644.65,0.74,0.11,eia.gov,false,
2023-01-02 10:00:00,USA,Tampa Electric Company,US-FLA-TEC,530.54,646.69,0.6,0.09,eia.gov,false,
2023-01-02 11:00:00,USA,Tampa Electric Company,US-FLA-TEC,528.83,645.27,0.37,0.06,eia.gov,false,
2023-01-02 12:00:00,USA,Tampa Electric Company,US-FLA-TEC,515.53,632.24,0.63,0.37,eia.gov,false,
2023-01-02 13:00:00,USA,Tampa Electric Company,US-FLA-TEC,494.83,607.16,5.16,4.93,eia.gov,false,
2023-01-02 14:00:00,USA,Tampa Electric Company,US-FLA-TEC,463.69,571.56,10.12,9.86,eia.gov,false,
2023-01-02 15:00:00,USA,Tampa Electric Company,US-FLA-TEC,441.11,545.43,14.07,13.87,eia.gov,false,
2023-01-02 16:00:00,USA,Tampa Electric Company,US-FLA-TEC,429.63,532.35,15.88,15.74,eia.gov,false,
2023-01-02 17:00:00,USA,Tampa Electric Company,US-FLA-TEC,423.91,527.18,15.51,15.33,eia.gov,false,
2023-01-02 18:00:00,USA,Tampa Electric Company,US-FLA-TEC,413.63,516.07,16.58,16.33,eia.gov,false,
2023-01-02 19:00:00,USA,Tampa Electric Company,US-FLA-TEC,419.66,523.18,15.27,15.08,eia.gov,false,
2023-01-02 20:00:00,USA,Tampa Electric Company,US-FLA-TEC,429.12,533.18,14.36,14.26,eia.gov,false,
2023-01-02 21:00:00,USA,Tampa Electric Company,US-FLA-TEC,451.71,561.33,8.38,8.22,eia.gov,false,
2023-01-02 22:00:00,USA,Tampa Electric Company,US-FLA-TEC,485.46,601.88,1.06,0.84,eia.gov,false,
2023-01-02 23:00:00,USA,Tampa Electric Company,US-FLA-TEC,488.24,605.42,0.23,0.04,eia.gov,false,
2023-01-03 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,495.87,613.01,0.08,0.01,eia.gov,false,
2023-01-03 01:00:00,USA,Tampa Electric Company,US-FLA-TEC,496.86,613.99,0.21,0.04,eia.gov,false,
2023-01-03 02:00:00,USA,Tampa Electric Company,US-FLA-TEC,495.14,612.18,0.5,0.09,eia.gov,false,
2023-01-03 03:00:00,USA,Tampa Electric Company,US-FLA-TEC,499.77,617.01,0.34,0.06,eia.gov,false,
2023-01-03 04:00:00,USA,Tampa Electric Company,US-FLA-TEC,511.75,628.84,0.26,0.05,eia.gov,false,
2023-01-03 05:00:00,USA,Tampa Electric Company,US-FLA-TEC,515.57,632.29,0.54,0.09,eia.gov,false,
2023-01-03 06:00:00,USA,Tampa Electric Company,US-FLA-TEC,520.57,637.03,0.66,0.1,eia.gov,false,
2023-01-03 07:00:00,USA,Tampa Electric Company,US-FLA-TEC,521.81,638.1,0.81,0.12,eia.gov,false,
2023-01-03 08:00:00,USA,Tampa Electric Company,US-FLA-TEC,523.41,639.68,0.82,0.12,eia.gov,false,
2023-01-03 09:00:00,USA,Tampa Electric Company,US-FLA-TEC,524.34,640.59,0.75,0.12,eia.gov,false,
2023-01-03 10:00:00,USA,Tampa Electric Company,US-FLA-TEC,522.83,639.21,0.54,0.08,eia.gov,false,
2023-01-03 11:00:00,USA,Tampa Electric Company,US-FLA-TEC,518.14,634.81,0.34,0.05,eia.gov,false,
2023-01-03 12:00:00,USA,Tampa Electric Company,US-FLA-TEC,510.62,626.86,0.95,0.66,eia.gov,false,
2023-01-03 13:00:00,USA,Tampa Electric Company,US-FLA-TEC,473.16,581.86,9.0,8.71,eia.gov,false,
2023-01-03 14:00:00,USA,Tampa Electric Company,US-FLA-TEC,438.64,540.75,16.12,15.86,eia.gov,false,
2023-01-03 15:00:00,USA,Tampa Electric Company,US-FLA-TEC,428.23,530.81,15.92,15.57,eia.gov,false,
2023-01-03 16:00:00,USA,Tampa Electric Company,US-FLA-TEC,417.8,520.53,16.13,15.66,eia.gov,false,
2023-01-03 17:00:00,USA,Tampa Electric Company,US-FLA-TEC,427.36,531.0,15.08,14.69,eia.gov,false,
2023-01-03 18:00:00,USA,Tampa Electric Company,US-FLA-TEC,426.25,530.16,14.92,14.52,eia.gov,false,
2023-01-03 19:00:00,USA,Tampa Electric Company,US-FLA-TEC,425.94,531.49,13.42,12.97,eia.gov,false,
2023-01-03 20:00:00,USA,Tampa Electric Company,US-FLA-TEC,431.29,538.79,11.44,11.08,eia.gov,false,
2023-01-03 21:00:00,USA,Tampa Electric Company,US-FLA-TEC,449.67,561.43,6.88,6.56,eia.gov,false,
2023-01-03 22:00:00,USA,Tampa Electric Company,US-FLA-TEC,473.46,590.08,1.53,1.21,eia.gov,false,
2023-01-03 23:00:00,USA,Tampa Electric Company,US-FLA-TEC,480.84,598.45,0.33,0.05,eia.gov,false,
