timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,France,France,FR,35.34,56.64,92.78,40.96,opendata.reseaux-energies.fr,False,
1672552800,France,France,FR,36.53,58.17,92.56,40.1,opendata.reseaux-energies.fr,False,
1672556400,France,France,FR,35.16,56.65,92.67,39.42,opendata.reseaux-energies.fr,False,
1672560000,France,France,FR,36.15,57.9,92.49,38.88,opendata.reseaux-energies.fr,False,
1672563600,France,France,FR,36.0,57.72,92.47,37.92,opendata.reseaux-energies.fr,False,
1672567200,France,France,FR,39.31,61.81,91.91,37.69,opendata.reseaux-energies.fr,False,
1672570800,France,France,FR,40.99,63.92,91.55,37.76,opendata.reseaux-energies.fr,False,
1672574400,France,France,FR,42.44,65.8,91.29,37.39,opendata.reseaux-energies.fr,False,
1672578000,France,France,FR,39.62,62.76,91.73,39.37,opendata.reseaux-energies.fr,False,
1672581600,France,France,FR,35.96,58.71,92.4,40.51,opendata.reseaux-energies.fr,False,
1672585200,France,France,FR,33.35,55.73,92.68,40.07,opendata.reseaux-energies.fr,False,
1672588800,France,France,FR,34.38,57.08,92.3,40.15,opendata.reseaux-energies.fr,False,
1672592400,France,France,FR,30.91,52.42,92.81,39.62,opendata.reseaux-energies.fr,False,
1672596000,France,France,FR,29.41,50.02,93.16,37.4,opendata.reseaux-energies.fr,False,
1672599600,France,France,FR,28.46,48.33,93.33,35.85,opendata.reseaux-energies.fr,False,
1672603200,France,France,FR,28.74,47.99,93.37,34.01,opendata.reseaux-energies.fr,False,
1672606800,France,France,FR,27.99,45.78,94.07,37.85,opendata.reseaux-energies.fr,False,
1672610400,France,France,FR,24.71,41.61,94.81,39.22,opendata.reseaux-energies.fr,False,
1672614000,France,France,FR,23.6,40.24,95.01,39.23,opendata.reseaux-energies.fr,False,
1672617600,France,France,FR,23.28,40.27,94.86,38.01,opendata.reseaux-energies.fr,False,
1672621200,France,France,FR,22.79,39.92,94.83,36.56,opendata.reseaux-energies.fr,False,
1672624800,France,France,FR,22.75,39.95,94.79,35.61,opendata.reseaux-energies.fr,False,
1672628400,France,France,FR,23.14,40.42,94.7,34.96,opendata.reseaux-energies.fr,False,
1672632000,France,France,FR,24.68,42.36,94.35,34.5,opendata.reseaux-energies.fr,False,
1672635600,France,France,FR,26.05,44.1,93.96,32.48,opendata.reseaux-energies.fr,False,
1672639200,France,France,FR,26.97,45.33,93.74,32.09,opendata.reseaux-energies.fr,False,
1672642800,France,France,FR,27.75,46.32,93.57,31.18,opendata.reseaux-energies.fr,False,
1672646400,France,France,FR,27.96,46.49,93.52,29.28,opendata.reseaux-energies.fr,False,
1672650000,France,France,FR,28.26,46.65,93.46,26.65,opendata.reseaux-energies.fr,False,
1672653600,France,France,FR,27.64,45.62,93.6,25.68,opendata.reseaux-energies.fr,False,
1672657200,France,France,FR,26.95,44.34,93.89,26.28,opendata.reseaux-energies.fr,False,
1672660800,France,France,FR,28.79,46.33,93.63,27.05,opendata.reseaux-energies.fr,False,
1672664400,France,France,FR,28.39,45.85,93.69,26.11,opendata.reseaux-energies.fr,False,
1672668000,France,France,FR,29.61,47.69,93.34,26.26,opendata.reseaux-energies.fr,False,
1672671600,France,France,FR,30.25,48.71,93.2,26.9,opendata.reseaux-energies.fr,False,
1672675200,France,France,FR,30.49,48.97,93.25,28.13,opendata.reseaux-energies.fr,False,
1672678800,France,France,FR,30.05,48.59,93.32,28.34,opendata.reseaux-energies.fr,False,
1672682400,France,France,FR,30.14,48.68,93.22,27.55,opendata.reseaux-energies.fr,False,
1672686000,France,France,FR,32.96,51.77,92.66,26.7,opendata.reseaux-energies.fr,False,
1672689600,France,France,FR,33.14,51.55,92.7,25.44,opendata.reseaux-energies.fr,False,
1672693200,France,France,FR,32.81,50.86,92.76,25.55,opendata.reseaux-energies.fr,False,
1672696800,France,France,FR,31.46,48.86,93.24,26.55,opendata.reseaux-energies.fr,False,
1672700400,France,France,FR,35.11,53.01,92.91,26.87,opendata.reseaux-energies.fr,False,
1672704000,France,France,FR,33.53,51.04,93.25,25.35,opendata.reseaux-energies.fr,False,
1672707600,France,France,FR,31.04,48.41,93.43,22.59,opendata.reseaux-energies.fr,False,
1672711200,France,France,FR,29.26,46.53,93.56,21.16,opendata.reseaux-energies.fr,False,
1672714800,France,France,FR,33.97,52.56,92.76,20.0,opendata.reseaux-energies.fr,False,
1672718400,France,France,FR,30.75,48.83,93.21,18.89,opendata.reseaux-energies.fr,False,
1672722000,France,France,FR,29.99,47.87,93.35,18.63,opendata.reseaux-energies.fr,False,
1672725600,France,France,FR,27.38,45.06,93.28,18.4,opendata.reseaux-energies.fr,False,
1672729200,France,France,FR,28.45,46.37,93.09,18.52,opendata.reseaux-energies.fr,False,
1672732800,France,France,FR,29.35,47.49,92.91,18.79,opendata.reseaux-energies.fr,False,
1672736400,France,France,FR,31.85,50.71,92.33,19.56,opendata.reseaux-energies.fr,False,
1672740000,France,France,FR,35.47,55.45,91.56,21.92,opendata.reseaux-energies.fr,False,
1672743600,France,France,FR,39.92,60.37,90.71,24.36,opendata.reseaux-energies.fr,False,
1672747200,France,France,FR,44.41,65.43,89.92,27.44,opendata.reseaux-energies.fr,False,
1672750800,France,France,FR,45.71,67.21,89.59,27.95,opendata.reseaux-energies.fr,False,
1672754400,France,France,FR,44.07,65.77,89.8,29.32,opendata.reseaux-energies.fr,False,
1672758000,France,France,FR,42.52,64.48,90.02,29.84,opendata.reseaux-energies.fr,False,
1672761600,France,France,FR,41.63,63.67,90.2,30.4,opendata.reseaux-energies.fr,False,
