timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,Italy,North Italy,IT-NO,320.84,405.97,37.78,27.32,entsoe.eu,False,
1672552800,Italy,North Italy,IT-NO,316.96,400.55,39.28,28.04,entsoe.eu,False,
1672556400,Italy,North Italy,IT-NO,318.56,402.02,39.26,27.2,entsoe.eu,False,
1672560000,Italy,North Italy,IT-NO,308.63,390.06,41.55,28.54,entsoe.eu,False,
1672563600,Italy,North Italy,IT-NO,310.02,392.05,41.19,28.56,entsoe.eu,False,
1672567200,Italy,North Italy,IT-NO,299.52,379.5,43.35,30.56,entsoe.eu,False,
1672570800,Italy,North Italy,IT-NO,299.56,379.13,43.3,30.24,entsoe.eu,False,
1672574400,Italy,North Italy,IT-NO,295.04,372.79,44.95,32.5,entsoe.eu,False,
1672578000,Italy,North Italy,IT-NO,278.2,352.7,49.37,37.33,entsoe.eu,False,
1672581600,Italy,North Italy,IT-NO,286.16,361.91,48.5,39.02,entsoe.eu,False,
1672585200,Italy,North Italy,IT-NO,283.8,359.41,48.43,38.87,entsoe.eu,False,
1672588800,Italy,North Italy,IT-NO,288.93,365.55,46.97,36.33,entsoe.eu,False,
1672592400,Italy,North Italy,IT-NO,299.54,377.63,45.01,35.06,entsoe.eu,False,
1672596000,Italy,North Italy,IT-NO,301.57,380.15,44.42,32.81,entsoe.eu,False,
1672599600,Italy,North Italy,IT-NO,293.42,372.47,43.11,28.5,entsoe.eu,False,
1672603200,Italy,North Italy,IT-NO,310.65,394.18,37.58,23.9,entsoe.eu,False,
1672606800,Italy,North Italy,IT-NO,306.76,386.86,39.46,27.72,entsoe.eu,False,
1672610400,Italy,North Italy,IT-NO,297.73,376.27,40.98,29.9,entsoe.eu,False,
1672614000,Italy,North Italy,IT-NO,295.95,372.58,42.67,31.72,entsoe.eu,False,
1672617600,Italy,North Italy,IT-NO,295.38,373.57,41.66,29.1,entsoe.eu,False,
1672621200,Italy,North Italy,IT-NO,309.38,392.51,37.51,23.92,entsoe.eu,False,
1672624800,Italy,North Italy,IT-NO,312.16,394.9,38.09,24.05,entsoe.eu,False,
1672628400,Italy,North Italy,IT-NO,306.52,386.31,40.98,25.18,entsoe.eu,False,
1672632000,Italy,North Italy,IT-NO,312.55,391.47,41.49,24.33,entsoe.eu,False,
1672635600,Italy,North Italy,IT-NO,337.34,421.11,37.35,23.48,entsoe.eu,False,
1672639200,Italy,North Italy,IT-NO,346.76,432.46,36.02,23.55,entsoe.eu,False,
1672642800,Italy,North Italy,IT-NO,352.73,439.46,34.99,23.38,entsoe.eu,False,
1672646400,Italy,North Italy,IT-NO,346.18,431.77,36.05,24.38,entsoe.eu,False,
1672650000,Italy,North Italy,IT-NO,334.56,418.36,37.27,23.4,entsoe.eu,False,
1672653600,Italy,North Italy,IT-NO,322.3,405.94,36.94,21.35,entsoe.eu,False,
1672657200,Italy,North Italy,IT-NO,327.27,412.39,35.2,21.28,entsoe.eu,False,
