timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,Norway,Southeast Norway,NO-NO1,24.87,51.03,96.64,76.13,entsoe.eu,False,
1672552800,Norway,Southeast Norway,NO-NO1,29.19,56.17,95.99,74.32,entsoe.eu,False,
1672556400,Norway,Southeast Norway,NO-NO1,33.41,61.33,95.33,73.69,entsoe.eu,False,
1672560000,Norway,Southeast Norway,NO-NO1,38.48,67.45,94.54,74.58,entsoe.eu,False,
1672563600,Norway,Southeast Norway,NO-NO1,36.99,65.72,94.72,74.08,entsoe.eu,False,
1672567200,Norway,Southeast Norway,NO-NO1,36.53,64.62,94.78,74.33,entsoe.eu,False,
1672570800,Norway,Southeast Norway,NO-NO1,36.83,64.61,94.77,74.97,entsoe.eu,False,
1672574400,Norway,Southeast Norway,NO-NO1,37.34,65.38,94.56,75.11,entsoe.eu,False,
1672578000,Norway,Southeast Norway,NO-NO1,31.94,59.44,95.52,76.47,entsoe.eu,False,
1672581600,Norway,Southeast Norway,NO-NO1,26.01,52.69,96.62,76.85,entsoe.eu,False,
1672585200,Norway,Southeast Norway,NO-NO1,24.4,50.95,96.94,77.85,entsoe.eu,False,
1672588800,Norway,Southeast Norway,NO-NO1,22.35,48.83,97.2,77.85,entsoe.eu,False,
1672592400,Norway,Southeast Norway,NO-NO1,23.92,50.73,97.08,77.93,entsoe.eu,False,
1672596000,Norway,Southeast Norway,NO-NO1,20.4,46.55,97.48,77.72,entsoe.eu,False,
1672599600,Norway,Southeast Norway,NO-NO1,18.34,44.19,97.69,81.13,entsoe.eu,False,
1672603200,Norway,Southeast Norway,NO-NO1,18.73,44.25,97.72,86.39,entsoe.eu,False,
1672606800,Norway,Southeast Norway,NO-NO1,16.04,41.34,98.12,86.6,entsoe.eu,False,
1672610400,Norway,Southeast Norway,NO-NO1,14.78,39.19,98.27,85.16,entsoe.eu,False,
1672614000,Norway,Southeast Norway,NO-NO1,14.57,39.17,98.31,85.69,entsoe.eu,False,
1672617600,Norway,Southeast Norway,NO-NO1,15.16,39.8,98.19,85.11,entsoe.eu,False,
1672621200,Norway,Southeast Norway,NO-NO1,17.39,42.55,97.82,85.04,entsoe.eu,False,
1672624800,Norway,Southeast Norway,NO-NO1,20.3,45.86,97.4,81.5,entsoe.eu,False,
1672628400,Norway,Southeast Norway,NO-NO1,21.87,47.94,97.14,80.49,entsoe.eu,False,
1672632000,Norway,Southeast Norway,NO-NO1,23.54,50.29,96.91,80.19,entsoe.eu,False,
1672635600,Norway,Southeast Norway,NO-NO1,25.92,53.31,96.64,79.01,entsoe.eu,False,
