Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Norway,Southwest Norway,NO-NO2,86.88,126.07,88.17,85.61,entsoe.eu,false,
2023-01-01 01:00:00,Norway,Southwest Norway,NO-NO2,91.29,131.34,87.34,83.69,entsoe.eu,false,
2023-01-01 02:00:00,Norway,Southwest Norway,NO-NO2,95.64,136.58,86.51,80.88,entsoe.eu,false,
2023-01-01 03:00:00,Norway,Southwest Norway,NO-NO2,96.33,137.19,86.21,79.42,entsoe.eu,false,
2023-01-01 04:00:00,Norway,Southwest Norway,NO-NO2,98.43,140.2,85.84,78.8,entsoe.eu,false,
2023-01-01 05:00:00,Norway,Southwest Norway,NO-NO2,100.27,141.35,85.58,78.45,entsoe.eu,false,
2023-01-01 06:00:00,Norway,Southwest Norway,NO-NO2,94.96,133.8,86.43,79.58,entsoe.eu,false,
2023-01-01 07:00:00,Norway,Southwest Norway,NO-NO2,87.7,124.84,87.13,80.68,entsoe.eu,false,
2023-01-01 08:00:00,Norway,Southwest Norway,NO-NO2,78.5,114.46,88.85,84.46,entsoe.eu,false,
2023-01-01 09:00:00,Norway,Southwest Norway,NO-NO2,66.9,101.31,91.06,88.67,entsoe.eu,false,
2023-01-01 10:00:00,Norway,Southwest Norway,NO-NO2,61.79,95.68,92.01,90.28,entsoe.eu,false,
2023-01-01 11:00:00,Norway,Southwest Norway,NO-NO2,59.12,92.4,92.34,90.73,entsoe.eu,false,
2023-01-01 12:00:00,Norway,Southwest Norway,NO-NO2,62.95,96.41,91.99,90.18,entsoe.eu,false,
2023-01-01 13:00:00,Norway,Southwest Norway,NO-NO2,57.62,89.18,92.61,90.84,entsoe.eu,false,
2023-01-01 14:00:00,Norway,Southwest Norway,NO-NO2,56.84,87.96,92.83,90.89,entsoe.eu,false,
2023-01-01 15:00:00,Norway,Southwest Norway,NO-NO2,60.29,90.78,92.92,90.82,entsoe.eu,false,
2023-01-01 16:00:00,Norway,Southwest Norway,NO-NO2,59.87,90.77,93.4,91.16,entsoe.eu,false,
2023-01-01 17:00:00,Norway,Southwest Norway,NO-NO2,64.27,95.39,93.1,90.81,entsoe.eu,false,
2023-01-01 18:00:00,Norway,Southwest Norway,NO-NO2,63.28,94.63,93.27,90.92,entsoe.eu,false,
