timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,USA,Duke Energy Florida Inc,US-FLA-FPC,446.27,557.1,2.74,0.48,eia.gov,False,
1672552800,USA,Duke Energy Florida Inc,US-FLA-FPC,437.59,550.51,3.09,0.51,eia.gov,False,
1672556400,USA,Duke Energy Florida Inc,US-FLA-FPC,428.3,542.58,2.12,0.54,eia.gov,False,
1672560000,USA,Duke Energy Florida Inc,US-FLA-FPC,423.68,537.92,2.74,0.58,eia.gov,False,
1672563600,USA,Duke Energy Florida Inc,US-FLA-FPC,421.23,535.58,3.06,0.64,eia.gov,False,
1672567200,USA,Duke Energy Florida Inc,US-FLA-FPC,419.39,532.85,3.91,0.87,eia.gov,False,
1672570800,USA,Duke Energy Florida Inc,US-FLA-FPC,425.07,537.48,4.68,0.9,eia.gov,False,
1672574400,USA,Duke Energy Florida Inc,US-FLA-FPC,428.22,539.98,5.11,0.94,eia.gov,False,
1672578000,USA,Duke Energy Florida Inc,US-FLA-FPC,427.93,539.15,5.46,0.96,eia.gov,False,
1672581600,USA,Duke Energy Florida Inc,US-FLA-FPC,424.35,534.56,6.29,0.97,eia.gov,False,
1672585200,USA,Duke Energy Florida Inc,US-FLA-FPC,423.43,533.7,6.29,0.98,eia.gov,False,
1672588800,USA,Duke Energy Florida Inc,US-FLA-FPC,425.54,535.9,6.2,0.9,eia.gov,False,
1672592400,USA,Duke Energy Florida Inc,US-FLA-FPC,429.52,540.41,5.71,0.96,eia.gov,False,
1672596000,USA,Duke Energy Florida Inc,US-FLA-FPC,425.92,536.16,6.57,2.61,eia.gov,False,
1672599600,USA,Duke Energy Florida Inc,US-FLA-FPC,420.5,529.74,7.75,4.38,eia.gov,False,
1672603200,USA,Duke Energy Florida Inc,US-FLA-FPC,413.76,521.66,9.18,6.3,eia.gov,False,
1672606800,USA,Duke Energy Florida Inc,US-FLA-FPC,405.36,511.64,10.97,8.2,eia.gov,False,
1672610400,USA,Duke Energy Florida Inc,US-FLA-FPC,405.18,510.16,11.55,9.55,eia.gov,False,
1672614000,USA,Duke Energy Florida Inc,US-FLA-FPC,413.41,518.18,10.49,8.36,eia.gov,False,
1672617600,USA,Duke Energy Florida Inc,US-FLA-FPC,419.95,523.46,9.92,7.6,eia.gov,False,
1672621200,USA,Duke Energy Florida Inc,US-FLA-FPC,427.74,531.51,8.59,6.08,eia.gov,False,
1672624800,USA,Duke Energy Florida Inc,US-FLA-FPC,435.65,539.71,7.26,4.64,eia.gov,False,
1672628400,USA,Duke Energy Florida Inc,US-FLA-FPC,451.34,558.64,3.74,1.09,eia.gov,False,
1672632000,USA,Duke Energy Florida Inc,US-FLA-FPC,453.37,561.31,3.14,0.59,eia.gov,False,
1672635600,USA,Duke Energy Florida Inc,US-FLA-FPC,452.84,561.08,3.19,0.6,eia.gov,False,
