timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,USA,Gainesville Regional Utilities,US-FLA-GVL,517.15,638.2,0.78,0.05,eia.gov,False,
1672552800,USA,Gainesville Regional Utilities,US-FLA-GVL,516.31,637.58,0.82,0.04,eia.gov,False,
1672556400,USA,Gainesville Regional Utilities,US-FLA-GVL,513.8,635.28,0.3,0.07,eia.gov,False,
1672560000,USA,Gainesville Regional Utilities,US-FLA-GVL,512.33,633.83,0.33,0.07,eia.gov,False,
1672563600,USA,Gainesville Regional Utilities,US-FLA-GVL,508.13,629.41,0.4,0.08,eia.gov,False,
1672567200,USA,Gainesville Regional Utilities,US-FLA-GVL,506.16,627.28,0.47,0.11,eia.gov,False,
1672570800,USA,Gainesville Regional Utilities,US-FLA-GVL,514.07,635.73,0.28,0.05,eia.gov,False,
1672574400,USA,Gainesville Regional Utilities,US-FLA-GVL,516.4,638.32,0.14,0.03,eia.gov,False,
1672578000,USA,Gainesville Regional Utilities,US-FLA-GVL,514.92,636.69,0.29,0.01,eia.gov,False,
1672581600,USA,Gainesville Regional Utilities,US-FLA-GVL,511.07,632.27,0.79,0.0,eia.gov,False,
1672585200,USA,Gainesville Regional Utilities,US-FLA-GVL,502.7,622.79,1.65,0.01,eia.gov,False,
1672588800,USA,Gainesville Regional Utilities,US-FLA-GVL,496.61,615.75,2.42,0.02,eia.gov,False,
1672592400,USA,Gainesville Regional Utilities,US-FLA-GVL,492.01,610.61,2.72,0.08,eia.gov,False,
1672596000,USA,Gainesville Regional Utilities,US-FLA-GVL,496.4,615.42,2.55,0.35,eia.gov,False,
1672599600,USA,Gainesville Regional Utilities,US-FLA-GVL,498.56,617.71,2.53,0.64,eia.gov,False,
1672603200,USA,Gainesville Regional Utilities,US-FLA-GVL,502.62,622.13,2.31,0.94,eia.gov,False,
1672606800,USA,Gainesville Regional Utilities,US-FLA-GVL,505.76,625.49,2.25,1.14,eia.gov,False,
1672610400,USA,Gainesville Regional Utilities,US-FLA-GVL,508.75,628.81,1.8,1.23,eia.gov,False,
1672614000,USA,Gainesville Regional Utilities,US-FLA-GVL,510.74,630.88,1.64,1.08,eia.gov,False,
1672617600,USA,Gainesville Regional Utilities,US-FLA-GVL,514.44,634.78,1.35,0.89,eia.gov,False,
1672621200,USA,Gainesville Regional Utilities,US-FLA-GVL,518.0,638.65,0.94,0.67,eia.gov,False,
1672624800,USA,Gainesville Regional Utilities,US-FLA-GVL,519.25,639.89,0.82,0.53,eia.gov,False,
1672628400,USA,Gainesville Regional Utilities,US-FLA-GVL,516.85,637.41,0.92,0.13,eia.gov,False,
1672632000,USA,Gainesville Regional Utilities,US-FLA-GVL,514.51,635.0,0.92,0.07,eia.gov,False,
1672635600,USA,Gainesville Regional Utilities,US-FLA-GVL,517.32,638.12,0.75,0.06,eia.gov,False,
1672639200,USA,Gainesville Regional Utilities,US-FLA-GVL,501.77,621.09,2.02,0.08,eia.gov,False,
1672642800,USA,Gainesville Regional Utilities,US-FLA-GVL,501.94,621.63,1.9,0.08,eia.gov,False,
1672646400,USA,Gainesville Regional Utilities,US-FLA-GVL,505.52,625.96,1.31,0.07,eia.gov,False,
1672650000,USA,Gainesville Regional Utilities,US-FLA-GVL,507.81,628.57,1.05,0.06,eia.gov,False,
1672653600,USA,Gainesville Regional Utilities,US-FLA-GVL,500.15,619.85,1.93,0.04,eia.gov,False,
1672657200,USA,Gainesville Regional Utilities,US-FLA-GVL,508.06,628.75,1.21,0.01,eia.gov,False,
1672660800,USA,Gainesville Regional Utilities,US-FLA-GVL,508.35,629.02,1.25,0.0,eia.gov,False,
1672664400,USA,Gainesville Regional Utilities,US-FLA-GVL,508.8,629.66,1.05,0.0,eia.gov,False,
1672668000,USA,Gainesville Regional Utilities,US-FLA-GVL,507.61,628.2,1.3,0.0,eia.gov,False,
1672671600,USA,Gainesville Regional Utilities,US-FLA-GVL,504.58,624.66,1.75,0.0,eia.gov,False,
1672675200,USA,Gainesville Regional Utilities,US-FLA-GVL,497.23,616.37,2.48,0.03,eia.gov,False,
1672678800,USA,Gainesville Regional Utilities,US-FLA-GVL,501.44,621.07,2.11,0.07,eia.gov,False,
1672682400,USA,Gainesville Regional Utilities,US-FLA-GVL,502.11,621.59,2.42,0.52,eia.gov,False,
1672686000,USA,Gainesville Regional Utilities,US-FLA-GVL,504.09,623.6,2.58,0.96,eia.gov,False,
1672689600,USA,Gainesville Regional Utilities,US-FLA-GVL,504.2,623.58,2.79,1.21,eia.gov,False,
1672693200,USA,Gainesville Regional Utilities,US-FLA-GVL,505.94,625.52,2.66,1.43,eia.gov,False,
1672696800,USA,Gainesville Regional Utilities,US-FLA-GVL,508.63,628.39,2.54,1.41,eia.gov,False,
1672700400,USA,Gainesville Regional Utilities,US-FLA-GVL,504.75,623.9,3.13,1.58,eia.gov,False,
1672704000,USA,Gainesville Regional Utilities,US-FLA-GVL,501.21,620.08,3.34,1.54,eia.gov,False,
1672707600,USA,Gainesville Regional Utilities,US-FLA-GVL,502.72,622.11,2.73,1.16,eia.gov,False,
1672711200,USA,Gainesville Regional Utilities,US-FLA-GVL,503.08,622.72,2.42,0.6,eia.gov,False,
1672714800,USA,Gainesville Regional Utilities,US-FLA-GVL,503.26,623.13,2.14,0.08,eia.gov,False,
1672718400,USA,Gainesville Regional Utilities,US-FLA-GVL,500.99,620.68,2.26,0.04,eia.gov,False,
1672722000,USA,Gainesville Regional Utilities,US-FLA-GVL,503.09,622.94,2.15,0.04,eia.gov,False,
1672725600,USA,Gainesville Regional Utilities,US-FLA-GVL,507.12,627.25,1.98,0.03,eia.gov,False,
1672729200,USA,Gainesville Regional Utilities,US-FLA-GVL,510.31,630.51,2.08,0.02,eia.gov,False,
1672732800,USA,Gainesville Regional Utilities,US-FLA-GVL,508.66,628.85,1.98,0.01,eia.gov,False,
1672736400,USA,Gainesville Regional Utilities,US-FLA-GVL,505.86,625.81,2.05,0.02,eia.gov,False,
1672740000,USA,Gainesville Regional Utilities,US-FLA-GVL,493.5,612.37,2.61,0.02,eia.gov,False,
1672743600,USA,Gainesville Regional Utilities,US-FLA-GVL,487.72,605.7,3.32,0.0,eia.gov,False,
1672747200,USA,Gainesville Regional Utilities,US-FLA-GVL,487.37,605.15,3.53,0.0,eia.gov,False,
1672750800,USA,Gainesville Regional Utilities,US-FLA-GVL,489.43,607.63,3.13,0.0,eia.gov,False,
1672754400,USA,Gainesville Regional Utilities,US-FLA-GVL,489.25,607.47,3.11,0.0,eia.gov,False,
1672758000,USA,Gainesville Regional Utilities,US-FLA-GVL,490.65,609.24,2.75,0.01,eia.gov,False,
1672761600,USA,Gainesville Regional Utilities,US-FLA-GVL,489.33,608.35,2.14,0.04,eia.gov,False,
1672765200,USA,Gainesville Regional Utilities,US-FLA-GVL,487.54,606.63,1.97,0.11,eia.gov,False,
1672768800,USA,Gainesville Regional Utilities,US-FLA-GVL,479.45,597.03,3.46,1.0,eia.gov,False,
1672772400,USA,Gainesville Regional Utilities,US-FLA-GVL,465.22,580.25,5.93,2.88,eia.gov,False,
1672776000,USA,Gainesville Regional Utilities,US-FLA-GVL,461.31,575.3,7.11,3.28,eia.gov,False,
1672779600,USA,Gainesville Regional Utilities,US-FLA-GVL,462.51,576.09,7.79,3.29,eia.gov,False,
1672783200,USA,Gainesville Regional Utilities,US-FLA-GVL,464.41,578.25,7.65,3.2,eia.gov,False,
1672786800,USA,Gainesville Regional Utilities,US-FLA-GVL,483.15,599.19,5.98,2.29,eia.gov,False,
1672790400,USA,Gainesville Regional Utilities,US-FLA-GVL,486.86,603.5,5.41,1.91,eia.gov,False,
1672794000,USA,Gainesville Regional Utilities,US-FLA-GVL,487.21,604.05,5.18,1.6,eia.gov,False,
1672797600,USA,Gainesville Regional Utilities,US-FLA-GVL,487.16,604.28,4.8,0.89,eia.gov,False,
1672801200,USA,Gainesville Regional Utilities,US-FLA-GVL,486.88,604.24,4.42,0.18,eia.gov,False,
1672804800,USA,Gainesville Regional Utilities,US-FLA-GVL,487.07,604.65,4.15,0.12,eia.gov,False,
1672808400,USA,Gainesville Regional Utilities,US-FLA-GVL,491.43,609.53,3.75,0.1,eia.gov,False,
1672812000,USA,Gainesville Regional Utilities,US-FLA-GVL,495.92,614.35,3.52,0.06,eia.gov,False,
1672815600,USA,Gainesville Regional Utilities,US-FLA-GVL,503.4,622.61,2.92,0.03,eia.gov,False,
1672819200,USA,Gainesville Regional Utilities,US-FLA-GVL,505.77,625.19,2.78,0.01,eia.gov,False,
1672822800,USA,Gainesville Regional Utilities,US-FLA-GVL,499.78,618.61,3.14,0.0,eia.gov,False,
1672826400,USA,Gainesville Regional Utilities,US-FLA-GVL,490.55,608.15,4.04,0.01,eia.gov,False,
1672830000,USA,Gainesville Regional Utilities,US-FLA-GVL,484.84,601.66,4.59,0.01,eia.gov,False,
1672833600,USA,Gainesville Regional Utilities,US-FLA-GVL,486.36,603.64,4.09,0.01,eia.gov,False,
1672837200,USA,Gainesville Regional Utilities,US-FLA-GVL,486.61,603.85,4.15,0.01,eia.gov,False,
1672840800,USA,Gainesville Regional Utilities,US-FLA-GVL,488.41,605.91,3.93,0.01,eia.gov,False,
1672844400,USA,Gainesville Regional Utilities,US-FLA-GVL,490.29,608.08,3.71,0.02,eia.gov,False,
1672848000,USA,Gainesville Regional Utilities,US-FLA-GVL,497.56,616.18,3.15,0.05,eia.gov,False,
1672851600,USA,Gainesville Regional Utilities,US-FLA-GVL,503.35,622.56,2.83,0.1,eia.gov,False,
1672855200,USA,Gainesville Regional Utilities,US-FLA-GVL,506.81,626.58,2.39,0.46,eia.gov,False,
1672858800,USA,Gainesville Regional Utilities,US-FLA-GVL,504.86,624.3,2.76,0.91,eia.gov,False,
1672862400,USA,Gainesville Regional Utilities,US-FLA-GVL,506.21,625.54,3.03,1.09,eia.gov,False,
1672866000,USA,Gainesville Regional Utilities,US-FLA-GVL,503.31,622.35,3.23,1.25,eia.gov,False,
1672869600,USA,Gainesville Regional Utilities,US-FLA-GVL,498.3,616.82,3.64,1.49,eia.gov,False,
1672873200,USA,Gainesville Regional Utilities,US-FLA-GVL,492.38,610.09,4.32,1.74,eia.gov,False,
1672876800,USA,Gainesville Regional Utilities,US-FLA-GVL,490.47,608.01,4.38,1.75,eia.gov,False,
1672880400,USA,Gainesville Regional Utilities,US-FLA-GVL,460.49,576.2,4.81,1.74,eia.gov,False,
1672884000,USA,Gainesville Regional Utilities,US-FLA-GVL,449.92,566.1,3.63,0.6,eia.gov,False,
1672887600,USA,Gainesville Regional Utilities,US-FLA-GVL,449.67,565.92,3.51,0.18,eia.gov,False,
1672891200,USA,Gainesville Regional Utilities,US-FLA-GVL,453.46,569.3,4.35,0.16,eia.gov,False,
1672894800,USA,Gainesville Regional Utilities,US-FLA-GVL,464.1,580.68,4.03,0.1,eia.gov,False,
1672898400,USA,Gainesville Regional Utilities,US-FLA-GVL,474.08,591.27,3.81,0.07,eia.gov,False,
1672902000,USA,Gainesville Regional Utilities,US-FLA-GVL,494.85,613.45,3.24,0.03,eia.gov,False,
1672905600,USA,Gainesville Regional Utilities,US-FLA-GVL,499.02,617.75,3.28,0.03,eia.gov,False,
1672909200,USA,Gainesville Regional Utilities,US-FLA-GVL,494.84,613.1,3.61,0.02,eia.gov,False,
1672912800,USA,Gainesville Regional Utilities,US-FLA-GVL,486.1,603.32,4.36,0.01,eia.gov,False,
1672916400,USA,Gainesville Regional Utilities,US-FLA-GVL,479.7,595.94,5.12,0.0,eia.gov,False,
1672920000,USA,Gainesville Regional Utilities,US-FLA-GVL,473.95,589.27,5.86,0.0,eia.gov,False,
1672923600,USA,Gainesville Regional Utilities,US-FLA-GVL,471.76,586.76,6.1,0.0,eia.gov,False,
