timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,USA,Jacksonville Electric Authority,US-FLA-JEA,655.27,683.86,4.8,0.05,eia.gov,False,
1672552800,USA,Jacksonville Electric Authority,US-FLA-JEA,639.76,674.34,5.19,0.01,eia.gov,False,
1672556400,USA,Jacksonville Electric Authority,US-FLA-JEA,622.22,660.24,6.31,0.01,eia.gov,False,
1672560000,USA,Jacksonville Electric Authority,US-FLA-JEA,600.7,649.89,6.52,0.01,eia.gov,False,
1672563600,USA,Jacksonville Electric Authority,US-FLA-JEA,609.52,654.6,6.71,0.0,eia.gov,False,
1672567200,USA,Jacksonville Electric Authority,US-FLA-JEA,620.42,661.72,6.55,0.0,eia.gov,False,
1672570800,USA,Jacksonville Electric Authority,US-FLA-JEA,644.29,684.84,4.39,0.0,eia.gov,False,
1672574400,USA,Jacksonville Electric Authority,US-FLA-JEA,663.46,701.89,2.93,0.0,eia.gov,False,
1672578000,USA,Jacksonville Electric Authority,US-FLA-JEA,671.93,709.07,2.33,0.0,eia.gov,False,
1672581600,USA,Jacksonville Electric Authority,US-FLA-JEA,670.87,707.71,2.51,0.0,eia.gov,False,
1672585200,USA,Jacksonville Electric Authority,US-FLA-JEA,669.15,706.61,2.55,0.0,eia.gov,False,
1672588800,USA,Jacksonville Electric Authority,US-FLA-JEA,653.31,691.92,4.0,0.0,eia.gov,False,
1672592400,USA,Jacksonville Electric Authority,US-FLA-JEA,637.14,676.09,5.71,0.07,eia.gov,False,
1672596000,USA,Jacksonville Electric Authority,US-FLA-JEA,608.14,649.0,8.4,1.19,eia.gov,False,
1672599600,USA,Jacksonville Electric Authority,US-FLA-JEA,598.22,644.26,8.38,2.01,eia.gov,False,
1672603200,USA,Jacksonville Electric Authority,US-FLA-JEA,584.15,632.74,9.52,3.41,eia.gov,False,
1672606800,USA,Jacksonville Electric Authority,US-FLA-JEA,578.73,624.37,10.92,4.75,eia.gov,False,
1672610400,USA,Jacksonville Electric Authority,US-FLA-JEA,578.43,624.92,10.67,4.94,eia.gov,False,
1672614000,USA,Jacksonville Electric Authority,US-FLA-JEA,575.44,622.55,10.6,4.72,eia.gov,False,
1672617600,USA,Jacksonville Electric Authority,US-FLA-JEA,569.41,620.74,10.08,4.25,eia.gov,False,
1672621200,USA,Jacksonville Electric Authority,US-FLA-JEA,569.02,622.14,9.49,3.65,eia.gov,False,
1672624800,USA,Jacksonville Electric Authority,US-FLA-JEA,575.58,630.18,7.89,1.82,eia.gov,False,
1672628400,USA,Jacksonville Electric Authority,US-FLA-JEA,580.56,636.15,6.64,0.21,eia.gov,False,
1672632000,USA,Jacksonville Electric Authority,US-FLA-JEA,574.55,631.09,6.95,0.12,eia.gov,False,
1672635600,USA,Jacksonville Electric Authority,US-FLA-JEA,581.07,636.57,6.7,0.11,eia.gov,False,
1672639200,USA,Jacksonville Electric Authority,US-FLA-JEA,590.57,644.46,6.28,0.03,eia.gov,False,
1672642800,USA,Jacksonville Electric Authority,US-FLA-JEA,599.54,650.04,6.3,0.02,eia.gov,False,
1672646400,USA,Jacksonville Electric Authority,US-FLA-JEA,605.99,651.88,6.88,0.01,eia.gov,False,
