timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,USA,Seminole Electric Cooperative,US-FLA-SEC,645.67,754.85,0.03,0.0,eia.gov,False,
1672552800,USA,Seminole Electric Cooperative,US-FLA-SEC,608.01,718.4,0.05,0.0,eia.gov,False,
1672556400,USA,Seminole Electric Cooperative,US-FLA-SEC,393.57,511.41,0.17,0.0,eia.gov,False,
1672560000,USA,Seminole Electric Cooperative,US-FLA-SEC,396.9,513.75,0.29,0.0,eia.gov,False,
1672563600,USA,Seminole Electric Cooperative,US-FLA-SEC,394.61,512.18,0.22,0.0,eia.gov,False,
1672567200,USA,Seminole Electric Cooperative,US-FLA-SEC,440.71,556.78,0.17,0.0,eia.gov,False,
1672570800,USA,Seminole Electric Cooperative,US-FLA-SEC,559.5,671.92,0.04,0.0,eia.gov,False,
1672574400,USA,Seminole Electric Cooperative,US-FLA-SEC,607.32,718.49,0.0,0.0,eia.gov,False,
1672578000,USA,Seminole Electric Cooperative,US-FLA-SEC,608.11,719.01,0.01,0.0,eia.gov,False,
1672581600,USA,Seminole Electric Cooperative,US-FLA-SEC,631.89,741.21,0.03,0.0,eia.gov,False,
1672585200,USA,Seminole Electric Cooperative,US-FLA-SEC,627.32,737.1,0.02,0.0,eia.gov,False,
1672588800,USA,Seminole Electric Cooperative,US-FLA-SEC,650.86,760.01,0.02,0.0,eia.gov,False,
1672592400,USA,Seminole Electric Cooperative,US-FLA-SEC,660.91,769.92,0.0,0.0,eia.gov,False,
1672596000,USA,Seminole Electric Cooperative,US-FLA-SEC,669.79,778.45,0.0,0.0,eia.gov,False,
1672599600,USA,Seminole Electric Cooperative,US-FLA-SEC,670.43,778.97,0.09,0.09,eia.gov,False,
1672603200,USA,Seminole Electric Cooperative,US-FLA-SEC,643.34,752.75,0.05,0.02,eia.gov,False,
1672606800,USA,Seminole Electric Cooperative,US-FLA-SEC,634.2,743.56,0.12,0.05,eia.gov,False,
1672610400,USA,Seminole Electric Cooperative,US-FLA-SEC,627.09,736.73,0.18,0.13,eia.gov,False,
1672614000,USA,Seminole Electric Cooperative,US-FLA-SEC,644.06,752.81,0.22,0.14,eia.gov,False,
1672617600,USA,Seminole Electric Cooperative,US-FLA-SEC,644.28,752.82,0.25,0.15,eia.gov,False,
1672621200,USA,Seminole Electric Cooperative,US-FLA-SEC,641.36,750.06,0.18,0.07,eia.gov,False,
1672624800,USA,Seminole Electric Cooperative,US-FLA-SEC,640.25,748.99,0.15,0.03,eia.gov,False,
1672628400,USA,Seminole Electric Cooperative,US-FLA-SEC,641.82,750.78,0.1,0.0,eia.gov,False,
1672632000,USA,Seminole Electric Cooperative,US-FLA-SEC,633.0,742.49,0.08,0.0,eia.gov,False,
1672635600,USA,Seminole Electric Cooperative,US-FLA-SEC,639.74,749.29,0.04,0.0,eia.gov,False,
1672639200,USA,Seminole Electric Cooperative,US-FLA-SEC,630.87,740.82,0.03,0.0,eia.gov,False,
1672642800,USA,Seminole Electric Cooperative,US-FLA-SEC,626.59,736.85,0.01,0.0,eia.gov,False,
1672646400,USA,Seminole Electric Cooperative,US-FLA-SEC,652.51,761.87,0.0,0.0,eia.gov,False,
1672650000,USA,Seminole Electric Cooperative,US-FLA-SEC,690.96,798.76,0.0,0.0,eia.gov,False,
1672653600,USA,Seminole Electric Cooperative,US-FLA-SEC,721.41,828.0,0.0,0.0,eia.gov,False,
1672657200,USA,Seminole Electric Cooperative,US-FLA-SEC,702.3,809.65,0.0,0.0,eia.gov,False,
1672660800,USA,Seminole Electric Cooperative,US-FLA-SEC,712.04,819.0,0.0,0.0,eia.gov,False,
1672664400,USA,Seminole Electric Cooperative,US-FLA-SEC,715.21,822.05,0.0,0.0,eia.gov,False,
1672668000,USA,Seminole Electric Cooperative,US-FLA-SEC,720.82,827.43,0.0,0.0,eia.gov,False,
1672671600,USA,Seminole Electric Cooperative,US-FLA-SEC,703.5,810.8,0.0,0.0,eia.gov,False,
1672675200,USA,Seminole Electric Cooperative,US-FLA-SEC,679.52,787.78,0.0,0.0,eia.gov,False,
1672678800,USA,Seminole Electric Cooperative,US-FLA-SEC,683.03,791.16,0.0,0.0,eia.gov,False,
1672682400,USA,Seminole Electric Cooperative,US-FLA-SEC,661.19,770.19,0.0,0.0,eia.gov,False,
1672686000,USA,Seminole Electric Cooperative,US-FLA-SEC,657.29,766.24,0.1,0.09,eia.gov,False,
1672689600,USA,Seminole Electric Cooperative,US-FLA-SEC,652.5,761.33,0.15,0.11,eia.gov,False,
1672693200,USA,Seminole Electric Cooperative,US-FLA-SEC,642.15,751.23,0.18,0.12,eia.gov,False,
1672696800,USA,Seminole Electric Cooperative,US-FLA-SEC,647.06,755.77,0.21,0.15,eia.gov,False,
1672700400,USA,Seminole Electric Cooperative,US-FLA-SEC,652.03,760.26,0.26,0.18,eia.gov,False,
1672704000,USA,Seminole Electric Cooperative,US-FLA-SEC,648.94,757.49,0.22,0.15,eia.gov,False,
1672707600,USA,Seminole Electric Cooperative,US-FLA-SEC,652.74,761.25,0.18,0.13,eia.gov,False,
1672711200,USA,Seminole Electric Cooperative,US-FLA-SEC,647.01,755.39,0.18,0.11,eia.gov,False,
1672714800,USA,Seminole Electric Cooperative,US-FLA-SEC,661.72,769.83,0.07,0.0,eia.gov,False,
1672718400,USA,Seminole Electric Cooperative,US-FLA-SEC,652.66,760.8,0.08,0.0,eia.gov,False,
1672722000,USA,Seminole Electric Cooperative,US-FLA-SEC,635.49,744.59,0.06,0.0,eia.gov,False,
1672725600,USA,Seminole Electric Cooperative,US-FLA-SEC,635.83,745.23,0.05,0.0,eia.gov,False,
