timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.31,24.32,99.94,99.94,eia.gov,False,
1672552800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.15,24.14,99.97,99.97,eia.gov,False,
1672556400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.15,24.16,99.97,99.97,eia.gov,False,
1672560000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.17,24.18,99.97,99.97,eia.gov,False,
1672563600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672567200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672570800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672574400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.58,24.64,99.9,99.89,eia.gov,False,
1672578000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.32,25.43,99.79,99.73,eia.gov,False,
1672581600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.9,24.97,99.86,99.81,eia.gov,False,
1672585200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,5.87,30.25,99.13,98.78,eia.gov,False,
1672588800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,20.14,45.4,97.02,95.72,eia.gov,False,
1672592400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,11.6,36.38,98.25,97.48,eia.gov,False,
1672596000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,10.05,34.76,98.46,97.75,eia.gov,False,
1672599600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,7.17,31.7,98.88,98.36,eia.gov,False,
1672603200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,5.67,30.13,99.09,98.66,eia.gov,False,
1672606800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,4.76,29.19,99.22,98.87,eia.gov,False,
1672610400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,11.76,36.94,98.02,97.18,eia.gov,False,
1672614000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,12.21,37.5,97.93,97.04,eia.gov,False,
1672617600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,9.75,34.77,98.34,97.61,eia.gov,False,
1672621200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,6.98,31.75,98.81,98.32,eia.gov,False,
1672624800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,7.15,31.92,98.78,98.28,eia.gov,False,
1672628400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,8.34,33.21,98.6,97.94,eia.gov,False,
1672632000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,5.35,29.92,99.08,98.69,eia.gov,False,
1672635600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.17,24.19,99.97,99.96,eia.gov,False,
1672639200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.71,24.8,99.87,99.85,eia.gov,False,
1672642800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.35,24.4,99.94,99.93,eia.gov,False,
1672646400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672650000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672653600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672657200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672660800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672664400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,5.35,29.81,99.14,98.76,eia.gov,False,
1672668000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,9.12,33.89,98.54,97.88,eia.gov,False,
1672671600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,13.02,38.15,97.9,97.03,eia.gov,False,
1672675200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,7.98,32.68,98.7,98.17,eia.gov,False,
1672678800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.25,24.29,99.96,99.95,eia.gov,False,
1672682400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672686000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672689600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672693200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.08,25.24,99.8,99.78,eia.gov,False,
1672696800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.9,25.02,99.84,99.82,eia.gov,False,
1672700400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.49,25.68,99.74,99.71,eia.gov,False,
1672704000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,2.17,26.45,99.63,99.59,eia.gov,False,
1672707600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,2.75,27.09,99.53,99.46,eia.gov,False,
1672711200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.65,25.87,99.71,99.67,eia.gov,False,
1672714800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.56,25.78,99.72,99.69,eia.gov,False,
1672718400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,2.16,26.51,99.58,99.54,eia.gov,False,
1672722000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.67,24.79,99.86,99.85,eia.gov,False,
1672725600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.27,24.32,99.94,99.94,eia.gov,False,
1672729200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.12,24.14,99.97,99.97,eia.gov,False,
1672732800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.12,24.15,99.97,99.97,eia.gov,False,
1672736400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672740000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672743600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672747200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.27,24.29,99.95,99.95,eia.gov,False,
1672750800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,11.88,36.92,98.07,97.24,eia.gov,False,
1672754400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,24.35,50.51,96.04,94.35,eia.gov,False,
1672758000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,35.06,62.2,94.27,91.87,eia.gov,False,
1672761600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,33.77,60.89,94.43,92.05,eia.gov,False,
1672765200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,50.7,79.24,91.63,87.62,eia.gov,False,
1672768800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,18.3,44.0,96.91,95.34,eia.gov,False,
1672772400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.69,24.8,99.86,99.85,eia.gov,False,
1672776000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.58,24.67,99.89,99.87,eia.gov,False,
1672779600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,4.15,28.57,99.29,98.95,eia.gov,False,
1672783200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.62,24.7,99.89,99.87,eia.gov,False,
1672786800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672790400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672794000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672797600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,2.23,26.44,99.63,99.5,eia.gov,False,
1672801200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.56,25.72,99.74,99.66,eia.gov,False,
1672804800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672808400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.38,24.44,99.93,99.92,eia.gov,False,
1672812000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672815600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.17,24.18,99.97,99.96,eia.gov,False,
1672819200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672822800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672826400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672830000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672833600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672837200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672840800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,24.0,100.0,100.0,eia.gov,False,
1672844400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.25,24.24,99.96,99.94,eia.gov,False,
1672848000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,4.42,28.65,99.36,99.02,eia.gov,False,
1672851600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,6.97,31.38,98.97,98.45,eia.gov,False,
1672855200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,3.12,27.31,99.52,99.3,eia.gov,False,
1672858800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.18,24.2,99.97,99.96,eia.gov,False,
1672862400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672866000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672869600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.16,24.16,99.97,99.97,eia.gov,False,
1672873200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.15,24.16,99.97,99.97,eia.gov,False,
1672876800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672880400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.14,24.14,99.97,99.97,eia.gov,False,
1672884000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.31,24.33,99.94,99.94,eia.gov,False,
1672887600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.31,24.34,99.94,99.93,eia.gov,False,
1672891200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.12,24.12,99.98,99.97,eia.gov,False,
1672894800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672898400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672902000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672905600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672909200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672912800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672916400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.97,100.0,100.0,eia.gov,False,
1672920000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672923600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.97,100.0,100.0,eia.gov,False,
1672927200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.98,100.0,100.0,eia.gov,False,
1672930800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.21,24.21,99.96,99.96,eia.gov,False,
1672934400,USA,PUD No. 1 of Chelan County,US-NW-CHPD,1.03,25.16,99.8,99.78,eia.gov,False,
1672938000,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.74,24.81,99.86,99.83,eia.gov,False,
1672941600,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.64,24.74,99.86,99.84,eia.gov,False,
1672945200,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.0,23.99,100.0,100.0,eia.gov,False,
1672948800,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.33,24.38,99.93,99.92,eia.gov,False,
