timestamp,country,zone,zone_id,carbon_intensity_gco2_kwh_direct,carbon_intensity_gco2_kwh_lca,Low Carbon Percentage,Renewable Percentage,Data Source,is_data_estimated,Data Estimation Method
1672549200,USA,Salt River Project,US-SW-SRP,235.29,288.0,57.18,3.15,eia.gov,False,
1672552800,USA,Salt River Project,US-SW-SRP,245.99,298.98,56.39,3.45,eia.gov,False,
1672556400,USA,Salt River Project,US-SW-SRP,246.71,298.35,57.35,3.52,eia.gov,False,
1672560000,USA,Salt River Project,US-SW-SRP,245.01,295.99,57.89,3.51,eia.gov,False,
1672563600,USA,Salt River Project,US-SW-SRP,243.42,293.9,58.33,3.47,eia.gov,False,
1672567200,USA,Salt River Project,US-SW-SRP,244.8,296.4,57.45,3.51,eia.gov,False,
1672570800,USA,Salt River Project,US-SW-SRP,237.49,287.1,59.32,3.63,eia.gov,False,
1672574400,USA,Salt River Project,US-SW-SRP,225.96,274.33,60.85,4.18,eia.gov,False,
1672578000,USA,Salt River Project,US-SW-SRP,221.84,270.5,60.85,4.25,eia.gov,False,
1672581600,USA,Salt River Project,US-SW-SRP,219.64,268.66,60.69,3.65,eia.gov,False,
1672585200,USA,Salt River Project,US-SW-SRP,222.03,271.5,60.2,3.58,eia.gov,False,
1672588800,USA,Salt River Project,US-SW-SRP,223.35,273.38,59.75,3.26,eia.gov,False,
1672592400,USA,Salt River Project,US-SW-SRP,220.39,270.5,59.89,3.11,eia.gov,False,
1672596000,USA,Salt River Project,US-SW-SRP,218.61,269.01,59.81,3.54,eia.gov,False,
1672599600,USA,Salt River Project,US-SW-SRP,219.27,269.49,59.88,4.04,eia.gov,False,
1672603200,USA,Salt River Project,US-SW-SRP,213.81,262.87,60.92,4.19,eia.gov,False,
1672606800,USA,Salt River Project,US-SW-SRP,207.78,254.97,62.58,4.13,eia.gov,False,
1672610400,USA,Salt River Project,US-SW-SRP,200.82,248.44,62.66,3.79,eia.gov,False,
1672614000,USA,Salt River Project,US-SW-SRP,191.9,239.72,63.05,3.38,eia.gov,False,
1672617600,USA,Salt River Project,US-SW-SRP,182.04,229.72,63.79,4.09,eia.gov,False,
1672621200,USA,Salt River Project,US-SW-SRP,184.3,231.7,63.83,3.54,eia.gov,False,
1672624800,USA,Salt River Project,US-SW-SRP,186.16,233.63,63.67,3.45,eia.gov,False,
1672628400,USA,Salt River Project,US-SW-SRP,194.07,242.63,62.38,2.97,eia.gov,False,
1672632000,USA,Salt River Project,US-SW-SRP,211.09,261.38,60.17,2.38,eia.gov,False,
1672635600,USA,Salt River Project,US-SW-SRP,224.02,275.53,58.68,2.22,eia.gov,False,
1672639200,USA,Salt River Project,US-SW-SRP,237.44,292.04,55.75,2.36,eia.gov,False,
1672642800,USA,Salt River Project,US-SW-SRP,249.13,304.09,54.79,2.62,eia.gov,False,
1672646400,USA,Salt River Project,US-SW-SRP,245.72,300.55,55.08,2.85,eia.gov,False,
1672650000,USA,Salt River Project,US-SW-SRP,245.61,300.35,55.09,3.83,eia.gov,False,
1672653600,USA,Salt River Project,US-SW-SRP,245.12,299.17,55.61,3.75,eia.gov,False,
1672657200,USA,Salt River Project,US-SW-SRP,240.4,293.4,56.59,4.06,eia.gov,False,
1672660800,USA,Salt River Project,US-SW-SRP,234.5,287.12,57.21,4.11,eia.gov,False,
1672664400,USA,Salt River Project,US-SW-SRP,233.91,286.48,57.3,3.78,eia.gov,False,
1672668000,USA,Salt River Project,US-SW-SRP,230.24,282.4,57.71,3.23,eia.gov,False,
1672671600,USA,Salt River Project,US-SW-SRP,227.56,280.19,57.58,2.42,eia.gov,False,
1672675200,USA,Salt River Project,US-SW-SRP,227.58,281.2,56.96,1.9,eia.gov,False,
1672678800,USA,Salt River Project,US-SW-SRP,220.61,274.2,57.37,1.55,eia.gov,False,
1672682400,USA,Salt River Project,US-SW-SRP,224.08,278.81,56.34,1.68,eia.gov,False,
1672686000,USA,Salt River Project,US-SW-SRP,218.42,272.93,56.85,1.56,eia.gov,False,
1672689600,USA,Salt River Project,US-SW-SRP,214.97,268.79,57.57,1.89,eia.gov,False,
1672693200,USA,Salt River Project,US-SW-SRP,208.99,262.28,58.39,2.92,eia.gov,False,
1672696800,USA,Salt River Project,US-SW-SRP,207.78,260.65,58.84,3.94,eia.gov,False,
1672700400,USA,Salt River Project,US-SW-SRP,202.12,253.33,60.39,4.62,eia.gov,False,
1672704000,USA,Salt River Project,US-SW-SRP,208.38,259.65,60.04,5.13,eia.gov,False,
1672707600,USA,Salt River Project,US-SW-SRP,212.57,264.27,59.61,6.11,eia.gov,False,
1672711200,USA,Salt River Project,US-SW-SRP,221.88,275.09,57.83,4.84,eia.gov,False,
1672714800,USA,Salt River Project,US-SW-SRP,217.83,269.52,59.23,5.56,eia.gov,False,
1672718400,USA,Salt River Project,US-SW-SRP,222.6,276.46,57.17,4.04,eia.gov,False,
1672722000,USA,Salt River Project,US-SW-SRP,228.33,284.48,55.07,2.7,eia.gov,False,
1672725600,USA,Salt River Project,US-SW-SRP,232.28,289.36,54.25,2.57,eia.gov,False,
1672729200,USA,Salt River Project,US-SW-SRP,224.44,281.08,55.03,2.76,eia.gov,False,
1672732800,USA,Salt River Project,US-SW-SRP,227.23,284.47,54.43,2.89,eia.gov,False,
1672736400,USA,Salt River Project,US-SW-SRP,234.87,291.97,54.11,2.79,eia.gov,False,
1672740000,USA,Salt River Project,US-SW-SRP,233.1,289.64,54.6,2.67,eia.gov,False,
1672743600,USA,Salt River Project,US-SW-SRP,241.85,298.24,54.23,2.09,eia.gov,False,
1672747200,USA,Salt River Project,US-SW-SRP,238.5,292.33,56.28,1.75,eia.gov,False,
1672750800,USA,Salt River Project,US-SW-SRP,231.64,283.35,58.19,1.44,eia.gov,False,
1672754400,USA,Salt River Project,US-SW-SRP,232.67,284.53,58.01,1.3,eia.gov,False,
